iteration,edge_weight_mean,non_edge_weight_mean,weight_gap,embedding_norm_mean,embedding_norm_std,embedding_similarity_mean
5000,-0.007310362067073584,-0.00022997226915322244,-0.007080389797920361,1.1989123821258545,0.3392542898654938,-0.0017448244616389275
10000,-0.00789372157305479,-0.00020194273383822292,-0.007691778839216568,1.3576372861862183,0.5133413672447205,-0.0021634846925735474
20000,-0.00833903532475233,-0.00019881247135344893,-0.008140222853398882,1.513372540473938,0.6660133600234985,-0.0012593913124874234
30000,-0.006994992960244417,-0.0001583709818078205,-0.006836621978436597,1.6633617877960205,1.250135064125061,-0.0012843849835917354
40000,-0.008844149298965931,-0.0002144689642591402,-0.00862968033470679,1.6152427196502686,0.8464229106903076,0.002089709509164095
50000,-0.008779948577284813,-0.0002124763559550047,-0.008567472221329808,1.6296367645263672,0.8855409026145935,0.003118684282526374
75000,-0.003825591877102852,0.0015583994099870324,-0.005383991287089884,1.971131443977356,2.0252246856689453,0.010296061635017395
90000,-0.0026456944178789854,0.0021130156237632036,-0.004758710041642189,2.0110747814178467,2.1956615447998047,0.01414698176085949
105000,-0.0010795843554660678,0.002489487174898386,-0.003569071530364454,2.033665418624878,2.3267273902893066,0.01734875701367855
120000,-0.000682205252815038,0.002738319570198655,-0.003420524823013693,2.0463619232177734,2.422253370285034,0.01989610679447651
135000,-0.00018453285156283528,0.002887880429625511,-0.0030724132811883464,2.0537772178649902,2.4869484901428223,0.021767878904938698
150000,-1.1811107469839044e-05,0.002986310748383403,-0.002998121855853242,2.0582900047302246,2.5314011573791504,0.023190051317214966
